year;country;genre;director;scripter;producer;premier_data;age_bound;duration;title;actors;rating;rus_title;budget;Nan

Год производства1999;СтранаСША;Жанрфэнтези, драма, криминал, детективслова;РежиссерФрэнк Дарабонт;СценарийФрэнк Дарабонт, Стивен Кинг;ПродюсерФрэнк Дарабонт, Дэвид Валдес;Премьера в мире6 декабря 1999, ...;Возраст16+;Время189 мин. / 03:09;NaN;Том ХэнксДэвид МорсБонни ХантМайкл Кларк ДунканДжеймс КромуэллМайкл ДжитерГрэм ГринДаг ХатчисонСэм РокуэллБарри Пеппер;9.1;NaN;Бюджет$60 000 000;
Год производства1994;СтранаСША;Жанрдрамаслова;РежиссерФрэнк Дарабонт;СценарийФрэнк Дарабонт, Стивен Кинг;ПродюсерЛиз Глоцер, Дэвид В. Лестер, Ники Марвин;Премьера в мире10 сентября 1994, ...;Возраст16+;Время142 мин. / 02:22;NaN;Тим РоббинсМорган ФриманБоб ГантонУильям СэдлерКлэнси БраунГил БеллоузМарк РолстонДжеймс УитморДжеффри ДеМаннЛарри Бранденбург;9.1;NaN;Бюджет$25 000 000;
Год производства2003;СтранаНовая Зеландия, США;Жанрфэнтези, приключения, драмаслова;РежиссерПитер Джексон;СценарийФрэн Уолш, Филиппа Бойенс, Питер Джексон, ...;ПродюсерПитер Джексон, Eric Monette, Барри М. Осборн, ...;Премьера в мире1 декабря 2003, ...;Возраст12+;Время201 мин. / 03:21;The Lord of the Rings: The Return of the King;Тим РоббинсМорган ФриманБоб ГантонУильям СэдлерКлэнси БраунГил БеллоузМарк РолстонДжеймс УитморДжеффри ДеМаннЛарри Бранденбург;8.6;Властелин колец: Возвращение короля (2003);Бюджет$94 000 000;
Год производства2002;СтранаНовая Зеландия, США;Жанрфэнтези, приключения, драмаслова;РежиссерПитер Джексон;СценарийФрэн Уолш, Филиппа Бойенс, Стивен Синклер, ...;ПродюсерПитер Джексон, Eric Monette, Барри М. Осборн, ...;Премьера в мире5 декабря 2002, ...;Возраст12+;Время179 мин. / 02:59;The Lord of the Rings: The Two Towers;Тим РоббинсМорган ФриманБоб ГантонУильям СэдлерКлэнси БраунГил БеллоузМарк РолстонДжеймс УитморДжеффри ДеМаннЛарри Бранденбург;8.6;Властелин колец: Две крепости (2002);Бюджет$94 000 000;
Год производства2001;СтранаНовая Зеландия, США;Жанрфэнтези, приключения, драмаслова;РежиссерПитер Джексон;СценарийФрэн Уолш, Филиппа Бойенс, Питер Джексон, ...;ПродюсерПитер Джексон, Барри М. Осборн, Тим Сандерс, ...;Премьера в мире10 декабря 2001, ...;Возраст12+;Время178 мин. / 02:58;The Lord of the Rings: The Fellowship of the Ring;Тим РоббинсМорган ФриманБоб ГантонУильям СэдлерКлэнси БраунГил БеллоузМарк РолстонДжеймс УитморДжеффри ДеМаннЛарри Бранденбург;8.6;Властелин колец: Братство Кольца (2001);Бюджет$93 000 000;
Год производства2014;СтранаСША, Великобритания, Канада;Жанрфантастика, драма, приключенияслова;РежиссерКристофер Нолан;СценарийДжонатан Нолан, Кристофер Нолан;ПродюсерКристофер Нолан, Линда Обст, Эмма Томас, ...;Премьера в мире26 октября 2014, ...;Возраст16+;Время169 мин. / 02:49;Interstellar;Тим РоббинсМорган ФриманБоб ГантонУильям СэдлерКлэнси БраунГил БеллоузМарк РолстонДжеймс УитморДжеффри ДеМаннЛарри Бранденбург;8.6;Интерстеллар (2014);Бюджет$165 000 000;
Год производства1994;СтранаСША;Жанркомедия, драма, история, мелодрама, военныйслова;РежиссерРоберт Земекис;СценарийЭрик Рот, Уинстон Грум;ПродюсерВенди Файнерман, Стив Старки, Стив Тиш, ...;Премьера в мире23 июня 1994, ...;Возраст12+;Время142 мин. / 02:22;Forrest Gump;Тим РоббинсМорган ФриманБоб ГантонУильям СэдлерКлэнси БраунГил БеллоузМарк РолстонДжеймс УитморДжеффри ДеМаннЛарри Бранденбург;8.9;Форрест Гамп (1994);Бюджет$55 000 000;
Год производства1973;СтранаСССР;Жанрфантастика, комедия, приключенияслова;РежиссерЛеонид Гайдай;СценарийВладлен Бахнов, Леонид Гайдай, Михаил Булгаков;NaN;Премьера в мире17 сентября 1973, ...;Возраст6+;Время88 мин. / 01:28;6+;Тим РоббинсМорган ФриманБоб ГантонУильям СэдлерКлэнси БраунГил БеллоузМарк РолстонДжеймс УитморДжеффри ДеМаннЛарри Бранденбург;8.8;Иван Васильевич меняет профессию (1973);NaN;
Год производства1994;СтранаСША;Жанрмультфильм, мюзикл, драма, приключения, семейныйслова;РежиссерРоджер Аллерс, Роб Минкофф;СценарийИрен Меччи, Джонатан Робертс, Линда Вулвертон, ...;ПродюсерДон Хан, Элис Дьюи, Сара МакАртур, ...;Премьера в мире12 июня 1994, ...;Возраст0+;Время88 мин. / 01:28;The Lion King;Тим РоббинсМорган ФриманБоб ГантонУильям СэдлерКлэнси БраунГил БеллоузМарк РолстонДжеймс УитморДжеффри ДеМаннЛарри Бранденбург;8.8;Король Лев (1994);Бюджет$45 000 000;
