id;eng_title;rus_title;rating
559869;W imie...;Во имя... (2013);7
559869;Resident Evil: Apocalypse;Обитель зла 2: Апокалипсис (2004);3
559869;Old;Время (2021);5
559869;Jukai Mura;Лес самоубийц (2021);4
559869;U.S. Marshals;Служители закона (1998);7
559869;Shi;Поэзия (2010);9
559869;Beoning;Пылающий (2018);9
559869;The Boy Behind the Door;Прячься (2020);7
559869;Yang guang pu zhao;Солнце (2019);8
559869;Dark Phoenix;Люди Икс: Тёмный Феникс (2019);4
559869;Fear Street Part One: 1994;Улица страха. Часть 1: 1994 (2021);6
559869;Jeune & jolie;Молода и прекрасна (2013);7
559869;The Night;Ночь (2020);6
559869;Censor;Цензор (2021);7
559869;The Last Face;Последнее лицо (2016);3
559869;Separation;Разлука (2021);3
559869;Tenshi no tamago;Яйцо ангела (1985);8
559869;Luca;Лука (2021);8
559869;Nuevo orden;Новый порядок (2020);8
559869; ;Иччи (2020);6
559869;The Saint;Святой (1997);4
559869;La bestia nel cuore;Зверь в сердце (2005);5
559869;Swiss Army Man;Человек – швейцарский нож (2016);8
559869;A Quiet Place Part II;Тихое место 2 (2021);7
559869;47 Meters Down: Uncaged;Синяя бездна 2 (2019);4
559869;The Djinn;Заклинание Джинна (2020);7
559869;The Lodger;Жилец (1927);7
559869; ;Марафон желаний (2020);4
559869;Inunaki Mura;Деревня Инунаки (2019);4
559869;The Conjuring: The Devil Made Me Do It;Заклятие 3: По воле дьявола (2021);6
559869;The Hunt for Red October;Охота за «Красным Октябрем» (1990);7
559869;Spiral: From the Book of Saw;Пила: Спираль (2020);4
559869;Stoker;Порочные игры (2012);8
559869;United 93;Потерянный рейс (2006);8
559869;Lacci;Порочная связь (2020);5
559869;My Octopus Teacher;Мой учитель-осьминог (2020);7
559869;In the Earth;В земле (2021);6
559869;Tove;Туве (2020);6
559869;Witness to Murder;Свидетель убийства (1954);6
559869;Come Play;Приходи поиграть (2020);6
559869;The Woman in the Window;Женщина в окне (2021);4
559869;Tokyo Sonata;Токийская соната (2008);9
559869;Colectiv;Коллектив (2019);9
559869;Emma.;Эмма. (2020);6
559869;Jaws: The Revenge;Челюсти 4: Месть (1987);2
559869;Mank;Манк (2020);8
559869;Fifty Shades Freed;Пятьдесят оттенков свободы (2018);2
559870;The Twilight Saga: New Moon;Сумерки. Сага. Новолуние (2009);
559870;Twilight;Сумерки (2008);
559870; ;Будь со мной (2009);2
559870;Live!;Смерть в эфире (2007);1
559870;Couples Retreat;Формула любви для узников брака (2009);10
559877;In Time;Время (2011);1
559877;Quartier lointain;Далеко по соседству (2010);10
559877;Un balcon sur la mer;Балкон с видом на море (2010);8
559877;Black Swan;Чёрный лебедь (2010);10
559877; ;Улыбка Бога, или Чисто одесская история (2008);10
559877;2012;2012 (2009);1
559877;District 9;Район №9 (2009);10
559877;Inside I'm Dancing;…А в душе я танцую (2004);9
559877;Gran Torino;Гран Торино (2008);10
559877;Up;Вверх (2009);10
559877;Transformers: Revenge of the Fallen;Трансформеры: Месть падших (2009);2
559877;Nineteen Eighty-Four;1984 (1984);9
559880;Star Wars: Episode I - The Phantom Menace;Звёздные войны: Эпизод 1 – Скрытая угроза (1999);9
559880;Boys Don't Cry;Парни не плачут (1999);
559880;The Life of David Gale;Жизнь Дэвида Гейла (2002);
559880;Man on Fire;Гнев (2004);
559880;Brokeback Mountain;Горбатая гора (2005);
559880;Lost in Translation;Трудности перевода (2003);
559880;Titanic;Титаник (1997);
559880;Scarface;Лицо со шрамом (1983);
559880;The Bodyguard;Телохранитель (1992);
559880;The Time Traveler's Wife;Жена путешественника во времени (2008);
559880;No Strings Attached;Больше чем секс (2010);
559880;As Good as It Gets;Лучше не бывает (1997);
559880;Casino Royale;Казино Рояль (2006);
559880;The Ninth Gate;Девятые врата (1999);
559880;Ghost;Привидение (1990);
559880;Harry Potter and the Deathly Hallows: Part 2;Гарри Поттер и Дары Смерти: Часть II (2011);
559880;The Lion King;Король Лев (1994);
559880;A Walk to Remember;Спеши любить (2002);
559880;Star Wars: Episode III - Revenge of the Sith;Звёздные войны: Эпизод 3 – Месть ситхов (2005);
559880;Cast Away;Изгой (2000);
559880;Wicker Park;Одержимость (2004);
559880;Serendipity;Интуиция (2001);
559880;The Lake House;Дом у озера (2006);
559880;Beyond Borders;За гранью (2003);
559880;Remember Me;Помни меня (2010);
559880;The Blind Side;Невидимая сторона (2009);
559880;Dead Space: Downfall;Космос: Территория смерти (2008);
559880;District 9;Район №9 (2009);
559880;Hachi: A Dog's Tale;Хатико: Самый верный друг (2008);
559880;Marley & Me;Марли и я (2008);
559880;Avatar;Аватар (2009);
559880;The Dark Knight;Темный рыцарь (2008);
559880;The Curious Case of Benjamin Button;Загадочная история Бенджамина Баттона (2008);
559880;The Notebook;Дневник памяти (2004);
559880;The Lord of the Rings: The Return of the King;Властелин колец: Возвращение короля (2003);
559880;The Rock;Скала (1996);
559880;Titan A.E.;Титан: После гибели Земли (2000);
559880;Rain Man;Человек дождя (1988);
559880;The Sixth Sense;Шестое чувство (1999);
559880;The Lord of the Rings: The Fellowship of the Ring;Властелин колец: Братство Кольца (2001);
559880;The Lord of the Rings: The Two Towers;Властелин колец: Две крепости (2002);
559880;Ninja Assassin;Ниндзя-убийца (2009);
559881;The Twilight Saga: Breaking Dawn - Part 1;Сумерки. Сага. Рассвет: Часть 1 (2011);8
559881; ;Курьер (1986);10
559881; ;Три богатыря и Шамаханская царица (2010);9
559881;The Chronicles of Narnia: The Voyage of the Dawn Treader;Хроники Нарнии: Покоритель Зари (2010);
559881;Harry Potter and the Deathly Hallows: Part 1;Гарри Поттер и Дары Смерти: Часть I (2010);9
559881;The Town;Город воров (2010);8
559881;Penelope;Пенелопа (2006);7
559881;The Runaways;Ранэвэйс (2010);9
559881;Vampires Suck;Вампирский засос (2010);2
559881;Bandidas;Бандитки (2006);9
559881;The Devil Wears Prada;Дьявол носит Prada (2006);10
559881;The Mummy;Мумия (1999);8
559881;The Bounty Hunter;Охотник за головами (2010);8
559881;Bratz;Братц (2007);3
559881;Confessions of a Shopaholic;Шопоголик (2009);10
559881;Bride Wars;Война невест (2009);10
559881;Garfield;Гарфилд (2004);10
559881;The Twilight Saga: Eclipse;Сумерки. Сага. Затмение (2010);10
559881;Some Like It Hot;В джазе только девушки (1959);9
559881; ;Первая любовь (2009);4
559881;2012;2012 (2009);9
559881;Back to the Future Part II;Назад в будущее 2 (1989);9
559881;Hauru no ugoku shiro;Ходячий замок (2004);9
559881;Twilight;Сумерки (2008);9
559881;The Sweetest Thing;Милашка (2002);8
559881;View from the Top;Вид сверху лучше (2003);10
559881;Ghost;Привидение (1990);10
559881;Date Night;Безумное свидание (2010);1
559881;Heartbreakers;Сердцеедки (2001);10
559881;The Twilight Saga: New Moon;Сумерки. Сага. Новолуние (2009);10
559881;Problem Child 2;Трудный ребенок 2 (1991);10
559881;Raise Your Voice;Суперзвезда (2004);8
559888;Intouchables;1+1 (2011);10
559888;Cidade de Deus;Город бога (2002);
559888;Barfuss;Босиком по мостовой (2005);9
559888;Flipped;Привет, Джули! (2010);9
559888;Requiem for a Dream;Реквием по мечте (2000);10
559888;Zeitgeist: Moving Forward;Дух времени: Следующий шаг (2011);10
559888;The Fifth Element;Пятый элемент (1997);10
559888;Rain Man;Человек дождя (1988);9
559888;How to Train Your Dragon;Как приручить дракона (2010);9
559888;The Prestige;Престиж (2006);8
559888;Inception;Начало (2010);8
559888;Easy A;Отличница лёгкого поведения (2010);8
559888;Taken;Заложница (2007);8
559888;Ghost;Привидение (1990);8
559888;Reservoir Dogs;Бешеные псы (1991);9
559888;Groundhog Day;День сурка (1993);7
559888;The Pursuit of Happyness;В погоне за счастьем (2006);9
559888; ;Приключения Шерлока Холмса и доктора Ватсона: Собака Баскервилей (1981);6
559888;The Game;Игра (1997);7
559888;K-PAX;Планета Ка-Пэкс (2001);9
559888;Schindler's List;Список Шиндлера (1993);10
559888;The Devil's Advocate;Адвокат дьявола (1997);7
559888;The Dark Knight;Темный рыцарь (2008);7
